temperature,red,green,blue
3425,255,225.0852433,161.1467547
3430,255,225.1916185,161.4072484
3435,255,225.2977207,161.667337
3440,255,225.4035508,161.9270212
3445,255,225.5091097,162.1863018
3450,255,225.6143983,162.4451793
3455,255,225.7194175,162.7036545
3460,255,225.8241683,162.9617281
3465,255,225.9286515,163.2194007
3470,255,226.0328681,163.476673
3475,255,226.1368189,163.7335458
3480,255,226.2405049,163.9900196
3485,255,226.343927,164.2460953
3490,255,226.447086,164.5017733
3495,255,226.5499828,164.7570546
3500,255,226.6526183,165.0119396
3505,255,226.7549935,165.2664291
3510,255,226.857109,165.5205238
3515,255,226.958966,165.7742244
3520,255,227.0605651,166.0275314
3525,255,227.1619073,166.2804457
3530,255,227.2629934,166.5329678
3535,255,227.3638242,166.7850984
3540,255,227.4644007,167.0368383
3545,255,227.5647237,167.288188
3550,255,227.664794,167.5391483
3555,255,227.7646125,167.7897198
3560,255,227.8641799,168.0399032
3565,255,227.9634972,168.2896992
3570,255,228.0625651,168.5391083
3575,255,228.1613846,168.7881314
3580,255,228.2599563,169.036769
3585,255,228.3582811,169.2850218
3590,255,228.4563599,169.5328905
3595,255,228.5541935,169.7803757
3600,255,228.6517826,170.0274781
3605,255,228.7491281,170.2741984
3610,255,228.8462307,170.5205371
3615,255,228.9430913,170.7664951
3620,255,229.0397107,171.0120729
3625,255,229.1360896,171.2572711
3630,255,229.2322288,171.5020905
3635,255,229.3281292,171.7465317
3640,255,229.4237915,171.9905954
3645,255,229.5192165,172.2342821
3650,255,229.6144049,172.4775926
3655,255,229.7093576,172.7205275
3660,255,229.8040752,172.9630875
3665,255,229.8985586,173.2052731
3670,255,229.9928085,173.4470851
3675,255,230.0868258,173.6885241
3680,255,230.180611,173.9295908
3685,255,230.274165,174.1702857
3690,255,230.3674886,174.4106095
3695,255,230.4605825,174.6505629
3700,255,230.5534474,174.8901466
3705,255,230.646084,175.1293611
3710,255,230.7384932,175.3682071
3715,255,230.8306756,175.6066852
3720,255,230.9226319,175.8447961
3725,255,231.014363,176.0825404
3730,255,231.1058695,176.3199188
3735,255,231.1971521,176.5569318
3740,255,231.2882115,176.7935802
3745,255,231.3790486,177.0298645
3750,255,231.4696639,177.2657854
3755,255,231.5600582,177.5013435
3760,255,231.6502322,177.7365395
3765,255,231.7401867,177.971374
3770,255,231.8299222,178.2058475
3775,255,231.9194395,178.4399608
3780,255,232.0087394,178.6737145
3785,255,232.0978224,178.9071092
3790,255,232.1866893,179.1401454
3795,255,232.2753408,179.372824
3800,255,232.3637775,179.6051453
3805,255,232.4520001,179.8371102
3810,255,232.5400094,180.0687192
3815,255,232.6278059,180.2999729
3820,255,232.7153904,180.530872
3825,255,232.8027636,180.761417
3830,255,232.889926,180.9916086
3835,255,232.9768784,181.2214474
3840,255,233.0636214,181.4509341
3845,255,233.1501557,181.6800692
3850,255,233.2364819,181.9088533
3855,255,233.3226007,182.1372871
3860,255,233.4085127,182.3653712
3865,255,233.4942187,182.5931061
3870,255,233.5797192,182.8204926
3875,255,233.6650148,183.0475311
3880,255,233.7501063,183.2742224
3885,255,233.8349942,183.500567
3890,255,233.9196793,183.7265655
3895,255,234.004162,183.9522186
3900,255,234.0884431,184.1775268
3905,255,234.1725232,184.4024907
3910,255,234.256403,184.627111
3915,255,234.3400829,184.8513883
3920,255,234.4235637,185.075323
3925,255,234.506846,185.298916
3930,255,234.5899304,185.5221677
3935,255,234.6728174,185.7450787
3940,255,234.7555078,185.9676497
3945,255,234.8380021,186.1898812
3950,255,234.920301,186.4117739
3955,255,235.0024049,186.6333283
3960,255,235.0843146,186.854545
3965,255,235.1660307,187.0754246
3970,255,235.2475536,187.2959677
3975,255,235.3288841,187.516175
3980,255,235.4100227,187.7360469
3985,255,235.49097,187.9555841
3990,255,235.5717266,188.1747871
3995,255,235.6522931,188.3936566
4000,255,235.73267,188.6121932
4005,255,235.812858,188.8303974
4010,255,235.8928576,189.0482697
4015,255,235.9726694,189.2658109
4020,255,236.0522939,189.4830214
4025,255,236.1317318,189.6999019
4030,255,236.2109836,189.9164529
4035,255,236.2900499,190.1326751
4040,255,236.3689312,190.3485689
4045,255,236.4476282,190.564135
4050,255,236.5261413,190.7793739
4055,255,236.6044711,190.9942863
4060,255,236.6826182,191.2088726
4065,255,236.7605831,191.4231335
4070,255,236.8383664,191.6370696
4075,255,236.9159686,191.8506813
4080,255,236.9933903,192.0639694
4085,255,237.0706321,192.2769343
4090,255,237.1476944,192.4895766
4095,255,237.2245779,192.7018969
4100,255,237.3012829,192.9138957
4105,255,237.3778102,193.1255737
4110,255,237.4541602,193.3369314
4115,255,237.5303335,193.5479693
4120,255,237.6063305,193.758688
4125,255,237.6821519,193.9690881
4130,255,237.7577981,194.1791702
4135,255,237.8332697,194.3889347
4140,255,237.9085672,194.5983823
4145,255,237.983691,194.8075135
4150,255,238.0586419,195.0163289
4155,255,238.1334201,195.224829
4160,255,238.2080264,195.4330144
4165,255,238.2824611,195.6408857
4170,255,238.3567248,195.8484433
4175,255,238.430818,196.0556879
4180,255,238.5047413,196.2626199
4185,255,238.578495,196.4692401
4190,255,238.6520798,196.6755488
4195,255,238.725496,196.8815467
4200,255,238.7987443,197.0872343
4205,255,238.8718252,197.2926121
4210,255,238.944739,197.4976807
4215,255,239.0174863,197.7024406
4220,255,239.0900677,197.9068924
4225,255,239.1624835,198.1110367
4230,255,239.2347343,198.3148739
4235,255,239.3068206,198.5184046
4240,255,239.3787428,198.7216294
4245,255,239.4505015,198.9245488
4250,255,239.5220971,199.1271632
4255,255,239.5935301,199.3294734
4260,255,239.664801,199.5314798
4265,255,239.7359102,199.7331829
4270,255,239.8068582,199.9345832
4275,255,239.8776456,200.1356814
4280,255,239.9482727,200.3364779
4285,255,240.0187401,200.5369733
4290,255,240.0890482,200.7371681
4295,255,240.1591974,200.9370628
4300,255,240.2291883,201.136658
4305,255,240.2990213,201.3359542
4310,255,240.3686969,201.534952
4315,255,240.4382154,201.7336517
4320,255,240.5075775,201.9320541
4325,255,240.5767835,202.1301595
4330,255,240.6458339,202.3279686
4335,255,240.7147291,202.5254818
4340,255,240.7834696,202.7226997
4345,255,240.8520559,202.9196227
4350,255,240.9204884,203.1162515
4355,255,240.9887675,203.3125865
4360,255,241.0568936,203.5086283
4365,255,241.1248673,203.7043774
4370,255,241.192689,203.8998342
4375,255,241.260359,204.0949993
4380,255,241.327878,204.2898732
4385,255,241.3952461,204.4844565
4390,255,241.462464,204.6787496
4395,255,241.5295321,204.8727531
4400,255,241.5964507,205.0664674
4405,255,241.6632203,205.2598931
4410,255,241.7298414,205.4530307
4415,255,241.7963143,205.6458807
4420,255,241.8626395,205.8384436
4425,255,241.9288175,206.0307199
4430,255,241.9948485,206.2227101
